iter	Passed	Remaining
701	44084	18713
702	44125	18641
703	44197	18583
704	44251	18516
705	44319	18455
706	44408	18404
707	44460	18336
708	44504	18266
709	44547	18195
710	44594	18126
711	44636	18055
712	44680	17985
713	44736	17919
714	44774	17847
715	44814	17775
716	44851	17703
717	44891	17631
718	44940	17563
719	44982	17493
720	45033	17426
721	45076	17356
722	45123	17288
723	45171	17220
724	45207	17147
725	45252	17078
726	45295	17008
727	45425	16972
728	45665	16975
729	45783	16933
730	45844	16870
731	45957	16826
732	46005	16757
733	46057	16691
734	46113	16626
735	46180	16564
736	46278	16514
737	46380	16465
738	46697	16492
739	46780	16436
740	46853	16376
741	47256	16431
742	47332	16372
743	47385	16304
744	47462	16245
745	47543	16187
746	47786	16184
747	47898	16136
748	48014	16090
749	48075	16025
750	48149	15964
751	48243	15910
752	48311	15847
753	48370	15781
754	48427	15714
755	48488	15649
756	48552	15585
757	48689	15544
758	48766	15484
759	48868	15432
760	48934	15368
761	49070	15326
762	49153	15267
763	49251	15213
764	49370	15166
765	49433	15101
766	49492	15034
767	49541	14965
768	49622	14906
769	49688	14841
770	49757	14778
771	49793	14705
772	49831	14633
773	49892	14568
774	49950	14501
775	49989	14429
776	50029	14358
777	50080	14290
778	50123	14219
779	50180	14153
780	50407	14134
781	50467	14068
782	50541	14007
783	50603	13941
784	50655	13873
785	50716	13808
786	50766	13739
787	50819	13672
788	50867	13603
789	50946	13542
790	51012	13478
791	51086	13416
792	51146	13350
793	51204	13284
794	51259	13217
795	51307	13149
796	51373	13085
797	51434	13019
798	51489	12953
799	51539	12884
800	51586	12816
801	51633	12747
802	51680	12678
803	51726	12609
804	51778	12542
805	51818	12472
806	51874	12406
807	51973	12350
808	52029	12283
809	52091	12218
810	52153	12154
811	52231	12093
812	52288	12027
813	52354	11963
814	52416	11898
815	52466	11830
816	52519	11763
817	52563	11695
818	52612	11627
819	52670	11561
820	52715	11493
821	52759	11424
822	52804	11356
823	52850	11288
824	52909	11223
825	52964	11157
826	53029	11093
827	53120	11034
828	53184	10970
829	53243	10905
830	53299	10839
831	53340	10770
832	53382	10702
833	53425	10633
834	53483	10568
835	53532	10501
836	53598	10437
837	53666	10374
838	53751	10314
839	53809	10249
840	53895	10189
841	53965	10126
842	54024	10061
843	54100	9999
844	54177	9937
845	54333	9890
846	54445	9834
847	54530	9774
848	54605	9711
849	54682	9649
850	54780	9591
851	54850	9528
852	54914	9463
853	54968	9397
854	55023	9331
855	55074	9264
856	55129	9199
857	55194	9134
858	55244	9068
859	55307	9003
860	55424	8947
861	55490	8883
862	55557	8819
863	55669	8762
864	55837	8714
865	55909	8651
866	55966	8585
867	56034	8521
868	56106	8457
869	56179	8394
870	56234	8328
871	56669	8318
872	56734	8253
873	56787	8186
874	56845	8120
875	57015	8070
876	57134	8013
877	57180	7945
878	57241	7879
879	57298	7813
880	57365	7748
881	57405	7680
882	57452	7612
883	57507	7546
884	57565	7480
885	57620	7413
886	57683	7348
887	57739	7282
888	57785	7215
889	57842	7149
890	57890	7081
891	57936	7014
892	57987	6948
893	58045	6882
894	58090	6815
895	58139	6748
896	58178	6680
897	58222	6613
898	58270	6546
899	58318	6479
900	58393	6416
901	58448	6350
902	58499	6284
903	58554	6218
904	58603	6151
905	58695	6089
906	58809	6030
907	58866	5964
908	58933	5899
909	58984	5833
910	59029	5766
911	59088	5701
912	59141	5635
913	59183	5568
914	59229	5502
915	59270	5435
916	59330	5370
917	59382	5304
918	59432	5238
919	59482	5172
920	59535	5106
921	59585	5040
922	60063	5010
923	60258	4956
924	60316	4890
925	60375	4824
926	60433	4759
927	60498	4693
928	60581	4630
929	60635	4563
930	60685	4497
931	60723	4430
932	60764	4363
933	60803	4296
934	60839	4229
935	60877	4162
936	60914	4095
937	60953	4028
938	60993	3962
939	61044	3896
940	61103	3831
941	61140	3764
942	61182	3698
943	61249	3633
944	61289	3567
945	61330	3500
946	61388	3435
947	61450	3370
948	61538	3307
949	61622	3243
950	61670	3177
951	61720	3111
952	61767	3046
953	61813	2980
954	61862	2914
955	61911	2849
956	61963	2784
957	62015	2718
958	62075	2653
959	62117	2588
960	62167	2522
961	62205	2457
962	62248	2391
963	62293	2326
964	62346	2261
965	62387	2195
966	62433	2130
967	62504	2066
968	62547	2000
969	62593	1935
970	62657	1871
971	62732	1807
972	62791	1742
973	62832	1677
974	62878	1612
975	62937	1547
976	62983	1482
977	63033	1417
978	63087	1353
979	63141	1288
980	63187	1223
981	63244	1159
982	63288	1094
983	63334	1029
984	63395	965
985	63444	900
986	63497	836
987	63547	771
988	63611	707
989	63666	643
990	63737	578
991	63802	514
992	63855	450
993	63926	385
994	63977	321
995	64023	257
996	64075	192
997	64121	128
998	64166	64
999	64213	0
